iteration,susceptible,infected,recovered
446,605,818,2177
447,598,833,2169
448,573,830,2197
449,576,811,2213
450,589,788,2223
451,604,754,2242
452,649,705,2246
453,681,671,2248
454,711,624,2265
455,734,589,2277
456,754,569,2277
457,790,532,2278
458,816,522,2262
459,844,532,2224
460,883,540,2177
461,879,545,2176
462,897,546,2157
463,925,555,2120
464,938,569,2093
465,950,578,2072
466,976,586,2038
467,995,588,2017
468,1015,588,1997
469,1024,629,1947
470,1050,650,1900
471,1084,636,1880
472,1057,670,1873
473,1057,709,1834
474,1063,723,1814
475,1067,730,1803
476,1075,734,1791
477,1062,762,1776
478,1063,779,1758
479,1048,806,1746
480,1058,808,1734
481,1064,805,1731
482,1060,802,1738
483,1046,796,1758
484,1010,811,1779
485,966,807,1827
486,940,829,1831
487,909,838,1853
488,881,847,1872
489,836,858,1906
490,810,848,1942
491,771,836,1993
492,748,833,2019
493,727,830,2043
494,688,812,2100
495,667,816,2117
496,692,800,2108
497,682,788,2130
498,656,782,2162
499,654,752,2194
